Title,Genres
Mary Poppins Returns,"Comedy,Family,Fantasy,Musical"
Kajaki,"Adventure,Biography,Drama,Thriller,War"
The Fear of 13,"Documentary,Crime,Mystery"
The Night Comes for Us,"Action,Thriller"
Blood Father,"Action,Crime,Drama,Thriller"
Stree,"Comedy,Horror"
American Factory,Documentary
Code 8,"Action,Crime,Drama,Sci-Fi,Thriller"
Salt,"Action,Mystery,Thriller"
The Hundred-Foot Journey,"Comedy,Drama"
The Distinguished Citizen,"Comedy,Drama"
Scooby-Doo on Zombie Island,"Animation,Adventure,Comedy,Family,Fantasy,Mystery"
Chasing Coral,Documentary
The End of the Tour,"Biography,Drama"
The One I Love,"Comedy,Drama,Sci-Fi"
Underworld,"Action,Fantasy,Thriller"
The Death of Mr. Lazarescu,"Comedy,Drama"
Madagascar: Escape 2 Africa,"Animation,Adventure,Comedy,Family"
The Wolf's Call,"Action,Adventure,Sci-Fi,Thriller"
What Happened to Monday,"Action,Adventure,Crime,Fantasy,Mystery,Sci-Fi,Thriller"
The Willoughbys,"Animation,Adventure,Comedy,Family"
The White Helmets,"Documentary,Short,Crime,War"
Suburra,"Action,Crime"
The Matrix Revolutions,"Action,Sci-Fi"
Richard Pryor: Live in Concert,Comedy
Austin Powers: The Spy Who Shagged Me,"Action,Adventure,Comedy,Crime"
Get Him to the Greek,"Comedy,Music"
Slow West,"Action,Adventure,Drama,Romance,Thriller,Western"
The Meyerowitz Stories (New and Selected),"Comedy,Drama"
The Battered Bastards of Baseball,"Documentary,Sport"
The Perfection,"Drama,Horror,Thriller"
Ip Man 3,"Action,Biography,Drama"
Sinister,"Horror,Mystery,Thriller"
Rush: Beyond the Lighted Stage,"Documentary,Biography,Music"
20 Feet from Stardom,"Documentary,Biography,Music"
The Stanford Prison Experiment,"Biography,Drama,History,Thriller"
My Week with Marilyn,"Biography,Drama"
Catfish,"Documentary,Drama,Mystery,Thriller"
Secret Superstar,"Drama,Music"
Private Life,"Comedy,Drama"
Jarhead,"Action,Biography,Drama,War"
Yes Man,"Comedy,Romance"
For the Love of Spock,"Documentary,Biography"
Goon,"Comedy,Drama,Sport"
Ace Ventura: Pet Detective,Comedy
Inequality for All,Documentary
Olympus Has Fallen,"Action,Thriller"
Dave Chappelle: Sticks & Stones,Comedy
John Mulaney: Kid Gorgeous at Radio City,Comedy
La Bamba,"Biography,Drama,Music"
Public Enemies,"Biography,Crime,Drama,History"
Supersonic,"Documentary,Biography,Music"
The Edge of Democracy,"Documentary,History"
The Polar Express,"Animation,Adventure,Comedy,Family,Fantasy,Musical"
Under the Skin,"Drama,Horror,Sci-Fi,Thriller"
Crip Camp: A Disability Revolution,Documentary
Tell Me Who I Am,"Documentary,Drama,Mystery"
Hey Arnold! The Jungle Movie,"Animation,Adventure,Comedy,Family,Fantasy"
Zack and Miri Make a Porno,"Comedy,Romance"
The Score,"Crime,Drama,Thriller"
Hamburger Hill,"Action,Drama,Thriller,War"
9,"Animation,Action,Adventure,Drama,Family,Horror,Mystery,Sci-Fi"
Undefeated,"Documentary,Sport"
Team Foxcatcher,"Documentary,Biography,Crime,History,Sport"
A Shaun the Sheep Movie: Farmageddon,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi"
April and the Extraordinary World,"Animation,Adventure,Comedy,Drama,Family,Mystery,Sci-Fi,Thriller"
The Highwaymen,"Biography,Crime,Drama,Mystery,Thriller"
Legend,"Biography,Crime,Drama,Thriller"
Boy & the World,"Animation,Adventure,Family"
Creep 2,"Horror,Thriller"
Terminator 3: Rise of the Machines,"Action,Sci-Fi"
Unrest,"Horror,Thriller"
Guru,"Biography,Drama"
Louis C.K. 2017,Comedy
A Twelve-Year Night,"Biography,Crime,Drama,History"
Happy as Lazzaro,"Drama,Fantasy"
What Happened Miss Simone?,"Documentary,Biography,Music"
Blue Jay,"Drama,Romance"
1922,"Crime,Drama,Horror,Mystery,Thriller"
Hancock,"Action,Fantasy"
Circus of Books,"Documentary,Biography"
Hail Caesar!,"Comedy,Drama,Music,Mystery"
The Pixar Story,Documentary
Child's Play,"Horror,Sci-Fi"
Springsteen On Broadway,"Documentary,Music"
The Angry Birds Movie 2,"Animation,Adventure,Comedy,Family"
Obvious Child,"Comedy,Drama,Romance"
Awe!,Thriller
American Honey,"Drama,Romance"
Last Breath,Documentary
Udta Punjab,"Action,Crime,Drama"
Den of Thieves,"Action,Crime,Drama,Mystery,Thriller"
Wadjda,"Comedy,Drama"
The Spiderwick Chronicles,"Action,Adventure,Drama,Family,Fantasy"
The Christmas Chronicles,"Adventure,Comedy,Family,Fantasy"
Turbo,"Animation,Adventure,Comedy,Family,Sci-Fi,Sport"
My Girl,"Comedy,Drama,Family,Romance"
2020-07-22 00:00:00,"Crime,Drama,History,Thriller"
Adam Sandler: 100% Fresh,"Comedy,Music"
Remember,"Drama,Mystery,Thriller"
Triple Frontier,"Action,Adventure,Crime,Drama,Thriller"
Bombshell: The Hedy Lamarr Story,"Documentary,Biography,History,War"
Paddleton,"Comedy,Drama"
Bad Boys II,"Action,Comedy,Crime,Thriller"
Sour Grapes,Comedy
Betting on Zero,Documentary
Delhi Belly,"Action,Comedy,Crime"
Being Elmo: A Puppeteer's Journey,Documentary
Williams,"Documentary,Biography,Sport"
It Comes at Night,"Horror,Mystery"
Cuba and the Cameraman,Documentary
Creep,"Horror,Thriller"
The Interview,"Action,Adventure,Comedy"
Bobby Robson: More Than a Manager,"Documentary,Sport"
Outbreak,"Action,Drama,Thriller"
Black Snake Moan,"Drama,Music"
Bright,"Action,Fantasy,Thriller"
Cargo,"Drama,Horror,Sci-Fi,Thriller"
Even the Rain,"Drama,History"
Candyman,"Horror,Thriller"
Mary and the Witch's Flower,"Animation,Adventure,Family,Fantasy"
Calibre,"Drama,Thriller"
First They Killed My Father,"Biography,Drama,History,War"
Us and Them,"Drama,Romance"
Up in Smoke,"Comedy,Music"
Final Destination,"Horror,Thriller"
Kill the Messenger,"Biography,Crime,Drama,Mystery,Thriller"
Operation Odessa,Documentary
The American Meme,Documentary
Outlaw King,"Action,Biography,Drama,History,War"
21,"Crime,Drama,History,Thriller"
Holding the Man,"Biography,Drama,Romance"
Krisha,Drama
De Palma,"Documentary,Biography"
Dear Ex,"Comedy,Drama,Romance"
Tomorrow Never Dies,"Action,Adventure,Thriller"
Veronica,Comedy
The Cakemaker,Drama
Instructions Not Included,"Comedy,Drama"
Bleed for This,"Biography,Drama,Sport"
Girl,Drama
The Naked Gun 2½: The Smell of Fear,"Comedy,Crime"
Bareilly's Barfi,"Comedy,Romance"
The Sky Is Pink,"Drama,Family,Romance"
Chitty Chitty Bang Bang,"Adventure,Family,Fantasy,Musical"
A Wednesday!,"Crime,Drama,Mystery,Thriller"
Jodhaa Akbar,"Action,Drama,History,Romance,War"
Handsome Devil,"Comedy,Drama,Sport"
Love Rosie,"Comedy,Romance"
Oceans,"Documentary,Drama"
The Ritual,"Horror,Mystery,Thriller"
Super Dark Times,"Crime,Drama,Horror,Thriller"
Tallulah,"Comedy,Drama,Romance"
Other People,"Comedy,Drama"
Alpha Dog,"Biography,Crime,Drama,Thriller"
Spectral,"Action,Adventure,Mystery,Sci-Fi,Thriller"
The Babysitter,"Comedy,Horror"
Extremely Wicked Shockingly Evil and Vile,"Biography,Crime,Drama,Thriller"
Heneral Luna,"Action,Biography,History,War"
Click,"Comedy,Drama,Fantasy,Romance"
The Duchess,"Biography,Drama,History,Romance"
The Last Man on the Moon,"Documentary,Adventure,Biography,History"
The 24 Hour War,"Documentary,History"
Mune: Guardian of the Moon,"Animation,Adventure,Comedy,Family,Fantasy"
The Devil We Know,Documentary
How the Grinch Stole Christmas,"Comedy,Family,Fantasy"
LA Originals,Documentary
Whisky,"Comedy,Drama"
The Sapphires,"Biography,Comedy,Drama,Music,Romance"
Bloodsport,"Action,Biography,Drama,Sport"
Tinker Bell and the Legend of the NeverBeast,"Animation,Adventure,Family,Fantasy"
Get Me Roger Stone,"Documentary,Biography"
Alex Strangelove,"Comedy,Drama,Romance"
She's Out of My League,"Comedy,Romance"
Sarah's Key,"Drama,War"
My Happy Family,Drama
Killing Them Softly,"Crime,Drama,Thriller"
Ittefaq,"Mystery,Thriller"
6 Underground,"Action,Comedy,Thriller"
The Accountant of Auschwitz,Documentary
Echo in the Canyon,"Documentary,Music"
Hold the Dark,"Drama,Horror,Mystery,Thriller"
Suffragette,"Drama,History"
The Siege of Jadotville,"Action,Drama,History,Thriller,War"
Terminator Salvation,"Action,Adventure,Sci-Fi"
Hotel Transylvania 3: Summer Vacation,"Animation,Adventure,Comedy,Family,Fantasy"
Filmworker,"Documentary,Biography"
Our Souls at Night,"Drama,Romance"
Mine 9,Drama
Everybody Knows,"Crime,Drama,Mystery,Thriller"
Retribution,"Drama,Mystery,Thriller"
Ice Guardians,"Documentary,Sport"
Tinker Bell and the Pirate Fairy,"Animation,Adventure,Family,Fantasy"
The World Is Not Enough,"Action,Adventure,Thriller"
Suite Française,"Drama,Romance,War"
Period. End of Sentence.,"Documentary,Short"
Beyond the Mat,"Documentary,Biography,Sport"
Next Gen,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
Cam,"Horror,Mystery,Thriller"
Divines,"Crime,Drama"
Shirkers,Documentary
Underworld: Evolution,"Action,Fantasy,Sci-Fi,Thriller"
Om Shanti Om,"Action,Comedy,Drama,Musical,Romance,Thriller"
How to Change the World,"Documentary,Adventure,Biography,History"
Spitfire,Drama
You Are My Sunday,"Comedy,Drama"
Dear Zindagi,"Drama,Romance"
Uncorked,Drama
The Water Diviner,"Drama,History,War"
Gaga: Five Foot Two,"Documentary,Music"
Austin Powers in Goldmember,"Action,Adventure,Comedy,Crime"
He Never Died,"Comedy,Drama,Fantasy,Horror,Thriller"
Black Sea,"Adventure,Drama,Thriller"
Ali's Wedding,"Comedy,Drama,Romance"
Event Horizon,"Horror,Sci-Fi,Thriller"
Mississippi Grind,"Comedy,Drama"
They'll Love Me When I'm Dead,Documentary
Kai Po Che!,"Drama,Sport"
Badla,"Crime,Drama,Mystery,Thriller"
Young Adult,"Comedy,Drama"
ZZ Top: That Little Ol' Band From Texas,"Documentary,Biography,Music"
Scary Movie,"Horror,Mystery"
The Dirt,"Biography,Comedy,Drama,Music"
Killer Klowns from Outer Space,"Comedy,Horror,Sci-Fi"
The Exception,"Drama,Romance,War"
Spenser Confidential,"Action,Comedy,Crime,Drama,Thriller"
Wheelman,"Action,Thriller"
While We're Young,"Comedy,Drama,Mystery"
Die Another Day,"Action,Adventure,Thriller"
The Grandmaster,"Action,Biography,Drama,Romance,War"
Bathtubs Over Broadway,"Documentary,Comedy,Music"
Cadillac Records,"Biography,Drama,Music"
I am Divine,Documentary
King Jack,"Adventure,Drama"
The Runaways,"Biography,Drama,Music"
2012,"Action,Adventure,Sci-Fi"
The Half of It,"Comedy,Romance"
Tigertail,Drama
Sleeping with Other People,"Comedy,Drama,Romance"
What Lies Beneath,"Drama,Fantasy,Horror,Mystery,Thriller"
Fractured,"Mystery,Thriller"
Master Z: Ip Man Legacy,"Action,Biography,Crime,Drama"
Neruda,"Biography,Crime,Drama,History,Thriller"
One Day,"Drama,Romance"
Just Friends,"Comedy,Romance"
Aśoka,Comedy
Harold and Lillian: A Hollywood Love Story,"Documentary,Biography"
The Grinch,"Comedy,Family,Fantasy"
Qarib Qarib Singlle,"Comedy,Romance"
Beasts of No Nation,"Drama,War"
Time Trap,"Action,Adventure,Sci-Fi"
Final Destination 2,"Horror,Thriller"
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Comedy
Dance Academy: The Movie,Drama
White Fang,"Adventure,Drama"
All the Bright Places,"Drama,Romance"
Elena,"Crime,Drama,Thriller"
Underworld: Rise of the Lycans,"Action,Fantasy"
Talaash,"Crime,Drama,Mystery,Thriller"
Kevin Hart: Laugh at My Pain,"Documentary,Comedy"
Gridiron Gang,"Biography,Crime,Drama,Sport"
Hot Rod,"Comedy,Sport"
Bee Movie,"Animation,Adventure,Comedy,Family"
Trash,"Adventure,Crime,Drama,Mystery,Thriller"
The Photographer of Mauthausen,"Biography,Drama,History,Thriller,War"
He's Just Not That Into You,"Comedy,Drama,Romance"
Forks Over Knives,Documentary
Bandits,"Comedy,Crime,Drama,Romance"
Sanju,"Biography,Drama"
Blame!,"Animation,Action,Drama,Sci-Fi,Thriller"
Quincy,"Crime,Drama,Mystery,Thriller"
DragonHeart,"Action,Adventure,Fantasy"
Bad Day for the Cut,"Action,Crime,Drama,Thriller"
We the Animals,Drama
Soul Surfer,"Biography,Drama,Family,Sport"
Rocko's Modern Life: Static Cling,"Animation,Action,Adventure,Comedy,Family"
Haywire,"Action,Drama,Thriller"
Pink,"Drama,Thriller"
Stuart Little,"Adventure,Comedy,Family,Fantasy"
Cutie and the Boxer,"Documentary,Biography"
The World Is Yours,"Comedy,Crime"
Berlin Syndrome,"Drama,Horror,Mystery,Thriller"
Furie,"Action,Drama,War"
Big Miracle,"Biography,Drama,Family,Romance"
Tramps,"Comedy,Romance"
Parmanu: The Story of Pokhran,"Action,Drama,History"
Kursk,"Action,Adventure,Drama,History,Thriller"
Deep Impact,"Action,Drama,Romance,Sci-Fi,Thriller"
The Kindergarten Teacher,Drama
Stonehearst Asylum,"Drama,Horror,Thriller"
Nick Kroll & John Mulaney: Oh Hello on Broadway,
The Wandering Earth,"Action,Drama,Sci-Fi"
Bon Cop Bad Cop,"Action,Comedy,Crime,Thriller"
Melvin Goes to Dinner,"Comedy,Drama,Romance"
Chappaquiddick,"Drama,History,Thriller"
Miles Davis: Birth of the Cool,"Documentary,Biography,Music"
Mission Control: The Unsung Heroes of Apollo,"Documentary,History"
Dukhtar,"Drama,Thriller"
Red Dawn,"Action,Drama"
Kaabil,"Action,Drama,Thriller"
The Company Men,Drama
Studio 54,"Drama,Music"
The Case for Christ,"Biography,Drama"
Outside In,Drama
Mowgli: Legend of the Jungle,"Adventure,Drama,Fantasy"
Errementari: The Blacksmith and the Devil,"Fantasy,Horror"
Jimmy Neutron: Boy Genius,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
World Trade Center,"Drama,History,Thriller"
I Am Kalam,"Comedy,Drama,Family"
PEEPLI [Live],"Comedy,Drama"
My Scientology Movie,Documentary
Latin History for Morons: John Leguizamo's Road to Broadway,
Mortal Kombat,"Action,Adventure,Fantasy,Sci-Fi,Thriller"
Behind the Curve,Documentary
Soni,"Crime,Drama"
Carriers,"Adventure,Drama,Thriller"
Tig,Documentary
Patton Oswalt: Annihilation,"Documentary,Comedy"
Trixie Mattel: Moving Parts,Documentary
Petta,"Action,Drama"
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,Documentary
Can't Hardly Wait,"Comedy,Romance"
The Confirmation,"Comedy,Drama"
The First Wives Club,Comedy
Colonia,"Biography,Drama,History,Romance,Thriller"
Free Fire,"Action,Comedy,Crime,Thriller"
Life As We Know It,"Comedy,Drama,Romance"
To All the Boys: P.S. I Still Love You,"Comedy,Romance"
Cop Car,"Crime,Thriller"
Urban Cowboy,"Drama,Romance,Western"
Above the Rim,"Crime,Drama,Sport,Thriller"
Screwball,Documentary
Prosecuting Evil: The Extraordinary World of Ben Ferencz,"Documentary,Biography,History,War"
The Incident,"Crime,Drama,Thriller"
Resident Evil: Extinction,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller"
American Assassin,"Action,Thriller"
Rang De Basanti,"Comedy,Drama"
Open Season,"Animation,Adventure,Comedy,Family,Fantasy"
Strong Island,Documentary
Resident Evil: Apocalypse,"Action,Horror,Sci-Fi,Thriller"
Smoke & Mirrors,"Biography,Thriller"
Sky Ladder: The Art of Cai Guo-Qiang,Documentary
Kate & Leopold,"Comedy,Fantasy,Romance"
Raiders!: The Story of the Greatest Fan Film Ever Made,Documentary
Then Came You,"Adventure,Comedy,Drama"
The Forest of Love,"Crime,Drama,Horror,Thriller"
I Called Him Morgan,"Documentary,Drama,History,Music"
The Money Pit,Comedy
The Angel,"Drama,Thriller"
Burlesque,"Drama,Music,Musical,Romance"
My Masterpiece,"Comedy,Drama"
Mr. Church,"Comedy,Drama"
Murder Mystery,"Action,Comedy,Crime,Mystery,Romance"
Audrie & Daisy,Documentary
Miss Hokusai,"Animation,Biography,Drama,History"
Dumplin',"Comedy,Drama"
The Invention of Lying,"Comedy,Fantasy,Romance"
Breath,"Drama,Romance,Sport"
Kodachrome,Drama
Operation Red Sea,"Action,Drama,Thriller,War"
Murder Party,"Comedy,Drama,Horror,Thriller"
Woodstock: Three Days That Defined a Generation,"Documentary,History"
Laggies,"Comedy,Drama,Romance"
Eye for an Eye,Thriller
Cowspiracy: The Sustainability Secret,Documentary
Eddie Murphy: Delirious,Comedy
The Aerial,"Drama,Fantasy,Sci-Fi"
Fire in Paradise,"Documentary,Short"
Cookie's Fortune,"Comedy,Drama"
Before I Wake,"Drama,Fantasy,Horror,Thriller"
Layla M.,Drama
Mountain,Documentary
Center Stage,"Drama,Music,Romance"
Mr. Right,"Action,Comedy,Romance"
